first_name,last_name,email,date_of_birth,ID,above_18
Aaron,Wilson,Aaron_Wilson@burke-benton.net,19870517,Wilson_6845c,True
Samuel,Lee,Samuel_Lee@gardner-rodriguez.net,19740902,Lee_d3d5c,True
Jennifer,Weaver,Jennifer_Weaver@patterson.com,19781015,Weaver_feb81,True
Brittany,Ellison,Brittany_Ellison@nolan.com,20040404,Ellison_93ac6,True
Leonard,Hamilton,Leonard_Hamilton@brown.com,19880229,Hamilton_f2276,True
Kathy,Phillips,Kathy_Phillips@floyd.com,19841216,Phillips_608c9,True
Jennifer,Jimenez,Jennifer_Jimenez@morgan.com,19921121,Jimenez_5ed59,True
Victoria,Lawson,Victoria_Lawson@snyder.com,19541204,Lawson_c755d,True
Michael,Martinez,Michael_Martinez@hogan.net,19521107,Martinez_bc0fc,True
Dr.,Paul,Paul_Jones@clark-irwin.com,19940215,Paul_f903f,True
Danielle,Tran,Danielle_Tran@mann.com,19880826,Tran_40aaa,True
Jeff,Freeman,Jeff_Freeman@guzman.com,20030520,Freeman_35a3d,True
Marissa,Jones,Marissa_Jones@lewis.net,19580806,Jones_cdd9f,True
Elijah,Roy,Elijah_Roy@jones-baldwin.com,19870705,Roy_57ef7,True
Courtney,Simpson,Courtney_Simpson@preston-cantrell.com,19731103,Simpson_7383f,True
Kimberly,Hopkins,Kimberly_Hopkins@adams.com,19931022,Hopkins_56d12,True
William,King,William_King@cline-allen.com,19841115,King_4ae33,True
Stephanie,Robertson,Stephanie_Robertson@owen-rodriguez.com,20020805,Robertson_c09d4,True
Ashley,Rogers,Ashley_Rogers@elliott-johnson.com,20041206,Rogers_34790,True
Rickey,Hill,Rickey_Hill@parker-cohen.com,19640430,Hill_bd6cc,True
Erika,Stewart,Erika_Stewart@solis.com,19851226,Stewart_40f40,True
Christina,Johnson,Christina_Johnson@clark.com,20010622,Johnson_5dcd5,True
Kelli,Wells,Kelli_Wells@jones.com,19540308,Wells_5c2c0,True
Nathan,Archer,Nathan_Archer@gray.com,19560723,Archer_c6232,True
Michael,Kline,Michael_Kline@phelps-alvarez.com,19650623,Kline_6fe75,True
Joshua,Rodriguez,Joshua_Rodriguez@thornton-benitez.com,19530317,Rodriguez_1eec6,True
James,Rodriguez,James_Rodriguez@logan.com,19810717,Rodriguez_a7ea3,True
Robert,Ortega,Robert_Ortega@perez.com,19600316,Ortega_7f647,True
Teresa,Ruiz,Teresa_Ruiz@holmes.com,19510904,Ruiz_e89df,True
Madison,Mejia,Madison_Mejia@sims.com,19530323,Mejia_10b0a,True
James,Bailey,James_Bailey@flynn.net,19861007,Bailey_b3b3b,True
Mary,Perry,Mary_Perry@williams.net,19730808,Perry_e8625,True
Crystal,Jones,Crystal_Jones@webb.com,19620914,Jones_85733,True
Aaron,Brown,Aaron_Brown@yates.com,19860502,Brown_9035e,True
Tanya,Barajas,Tanya_Barajas@davis.com,19740430,Barajas_c09f8,True
Samantha,Rasmussen,Samantha_Rasmussen@stokes-leon.com,19940621,Rasmussen_0fcc4,True
Vincent,Martin,Vincent_Martin@wright-lee.com,19840124,Martin_92713,True
Tony,Crawford,Tony_Crawford@moore.com,19870818,Crawford_a2a35,True
Randy,Sullivan,Randy_Sullivan@perez.net,19611025,Sullivan_7d828,True
Kimberly,Thompson,Kimberly_Thompson@brewer-walters.net,20001211,Thompson_77cc8,True
